Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,119.465000,-82.550000,90.000000,top
C2,100nF,C_0402_1005Metric,119.465000,-78.740000,-90.000000,top
C3,100nF,C_0402_1005Metric,122.555000,-75.565000,0.000000,top
C4,100nF,C_0402_1005Metric,130.556000,-81.153000,90.000000,top
C5,100nF,C_0402_1005Metric,130.556000,-91.158000,90.000000,top
C6,1uF,C_0402_1005Metric,120.650000,-73.025000,90.000000,top
D1,BAT54C,SOT-23,114.554000,-87.122000,0.000000,top
D2,LED,LED_0603_1608Metric,153.645000,-71.125000,0.000000,top
D3,LED,LED_0603_1608Metric,163.170000,-80.650000,0.000000,top
D4,LED,LED_0603_1608Metric,153.645000,-90.175000,0.000000,top
D5,LED,LED_0603_1608Metric,144.323000,-80.650000,0.000000,top
D6,LED,LED_0603_1608Metric,104.852718,-86.360000,180.000000,top
D7,LED,LED_0603_1608Metric,104.852718,-90.805000,180.000000,top
D8,LED,LED_0603_1608Metric,104.852718,-95.250000,180.000000,top
J1,USB_B_Micro,MicroXNJ,114.935000,-70.501000,0.000000,top
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,125.730000,-73.025000,90.000000,top
J3,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,136.540000,-73.030000,90.000000,top
R1,470,R_0402_1005Metric,118.364000,-85.852000,180.000000,top
R2,470,R_0402_1005Metric,161.036000,-71.626000,90.000000,top
R3,680,R_0402_1005Metric,165.608000,-71.626000,90.000000,top
R4,470,R_0402_1005Metric,164.084000,-71.628000,90.000000,top
R5,680,R_0402_1005Metric,162.560000,-71.626000,90.000000,top
R6,0,R_0402_1005Metric,118.364000,-88.392000,0.000000,top
R7,47k,R_0402_1005Metric,107.315000,-81.915000,0.000000,top
R8,220,R_0402_1005Metric,153.645000,-79.380000,0.000000,top
R9,220,R_0402_1005Metric,163.170000,-88.905000,0.000000,top
R10,220,R_0402_1005Metric,148.336000,-94.620000,90.000000,top
R11,220,R_0402_1005Metric,144.323000,-88.905000,0.000000,top
R12,220,R_0402_1005Metric,110.236000,-87.248000,180.000000,top
R13,220,R_0402_1005Metric,110.236000,-84.584000,180.000000,top
R14,680,R_0402_1005Metric,101.677718,-86.360000,180.000000,top
R15,680,R_0402_1005Metric,101.677718,-90.805000,180.000000,top
R16,680,R_0402_1005Metric,101.677718,-95.250000,180.000000,top
SW1,SW_SP3T,SW_SP3T_PCM13,101.600000,-74.930000,-90.000000,top
SW2,SW_Push,SW_SPST_TL3342,153.645000,-75.570000,0.000000,top
SW3,SW_Push,SW_SPST_TL3342,163.170000,-85.095000,0.000000,top
SW4,SW_Push,SW_SPST_TL3342,153.645000,-94.620000,0.000000,top
SW5,SW_Push,SW_SPST_TL3342,144.323000,-85.095000,0.000000,top
SW6,SW_Push,SW_SPST_TL3342,113.030000,-94.488000,0.000000,top
SW7,SW_Push,SW_SPST_TL3342,123.825000,-94.488000,0.000000,top
U1,CH340N,SOP-8_3.9x4.9mm_P1.27mm,114.385000,-80.645000,0.000000,top
U2,4053,TSSOP-16_4.4x5mm_P0.65mm,124.460000,-80.645000,90.000000,top
U3,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,133.858000,-80.264000,0.000000,top
U4,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,133.858000,-90.170000,0.000000,top
